_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,Ramaroshan Dental Clinic,Achham,Private,2071
2,Barpipal media,Achham,Private,2071
3,Malika Polyclinic,Achham,Private,2071
4,Friends Dental Clinic,Achham,Private,2071
5,Sawad Construction Company,Achham,Private,2071
6,Hill Side Polytechnic Institute,Achham,Private,2071
7,New Manakamana English Medium School Achham,Achham,Private,2071
8,Sunrise Academy Achham,Achham,Private,2071
9,Achham Krishi Engineering,Achham,Private,2071
10,Janajyoti English Boarding School Achham,Achham,Private,2071
11,Sandhikharka Construction,Arghakhanchi,Private,2071
12,Namuna Agro Livestock Business,Arghakhanchi,Private,2071
13,Lumbini Supa Deurali Agro Farms,Arghakhanchi,Private,2071
14,Hamro Agro & Research Center,Arghakhanchi,Private,2071
15,Acharya Deurali Agro Farm,Arghakhanchi,Private,2071
16,Arghakhanchi Hatchery,Arghakhanchi,Private,2071
17,nidan dental clinic,Arghakhanchi,Private,2071
18,Anushka Sub Money Exchange,Arghakhanchi,Private,2071
19,Narpani Supa Deurali Resort,Arghakhanchi,Private,2071
20,Argha Mineral Water,Arghakhanchi,Private,2071
21,Bhairab Bhauuddeshya Krishi,Arghakhanchi,Private,2071
22,Simalpani Agro Industries And Research Centre,Arghakhanchi,Private,2071
23,Everest Old Hotel Arghakhanchi,Arghakhanchi,Private,2071
24,Khiljee Bhagawati Crusher Udhyog,Arghakhanchi,Private,2071
25,Jhimruk Ekikrit Krishi Farm,Arghakhanchi,Private,2071
26,Shree Binayak Agriculture Firm And Research Center,Arghakhanchi,Private,2071
27,Khanadaha D Raj Policlinic,Arghakhanchi,Private,2071
28,Dipenshiva Music,Baglung,Private,2071
29,Kharel Daat Upachar Kendra,Baglung,Private,2071
30,Madhyadaram Khola B Hydropower,Baglung,Private,2071
31,Dhaulagiri S.T.M. Dhunga Udhyog and Investment,Baglung,Private,2071
32,Pun Stone Industries And Suppliers,Baglung,Private,2071
33,Generation Expert Educational Consultancy,Baglung,Private,2071
34,Burtibang Uttar Ganga Hospital,Baglung,Private,2071
35,Galkot Stone Suppliers,Baglung,Private,2071
36,Good Morning Education Baglung,Baglung,Private,2071
37,Muktinath Falful Suppliers and Investment,Baglung,Private,2071
38,G. And G. Multi Farm,Baglung,Private,2071
39,Baglung Golkot Gorkha Training  Center,Baglung,Private,2071
40,High Altitude Agriculture,Baglung,Private,2071
41,Baglung Jewellers,Baglung,Private,2071
42,T.N. Auto Venture,Baglung,Private,2071
43,Sarbasiddhi Suppliers,Baglung,Private,2071
44,Dhaulagiri Model Academy Baglung,Baglung,Private,2071
45,The Morning Glory Hostel And Educational Center,Baglung,Private,2071
46,Hotel Red Apple,Baglung,Private,2071
47,Emergency Polyclinic,Baglung,Private,2071
48,Amit And Rivan Trading,Baglung,Private,2071
49,Road Ways Tours And Travels,Baglung,Private,2071
50,Krishna Prakash Farming House,Baglung,Private,2071
51,Burtibang Polyclinic And Dignostic Center,Baglung,Private,2071
52,Galkot Media,Baglung,Private,2071
53,Bhatta Dental Clinic,Baitadi,Private,2071
54,Bhumiraj Krishijanya Bastu Bhandaran Tatha Bitaran Store,Baitadi,Private,2071
55,Surpal English Memorial Boarding School Baitadi,Baitadi,Private,2071
56,Jay Maa Bhagwati Nirman Sewa & Suppliers,Baitadi,Private,2071
57,Sunrise English Boarding School Baitadi,Baitadi,Private,2071
58,Shree Shraddha Suman English Boarding School Baitadi,Baitadi,Private,2071
59,Aadarsh Monteshori English Boarding School Baitadi,Baitadi,Private,2071
60,Snowline Academy Bajhang,Bajhang,Private,2071
61,Bhatta Polyclinic,Bajhang,Private,2071
62,Jayakalika English Bording School Bajhang,Bajhang,Private,2071
63,namadev technical training center,Bajhang,Private,2071
64,L.B. Memorial English Boarding School Bajhang,Bajhang,Private,2071
65,Hritparwat Academy School Bajhang,Bajhang,Private,2071
66,Kanda Saipal English Boarding School  Bajhang,Bajhang,Private,2071
67,Shree Jayaprithvi Bidhya Ashram Boarding School Bajhang,Bajhang,Private,2071
68,Classic Sub Remit,Bajhang,Private,2071
69,Bathapala English School,Bajhang,Private,2071
70,Beautiful Children Garden English Boarding School,Bajura,Private,2071
71,Amir Refulgent Institute,Bajura,Private,2071
72,Amir Refulgent School,Bajura,Private,2071
73,Little Star Academy Bajura,Bajura,Private,2071
74,kartikswami Himali Farm House,Bajura,Private,2071
75,Mastamandu Farwest academy Bajura,Bajura,Private,2071
76,G.N. English Medium Boarding School Bajura,Bajura,Private,2071
77,Khaptad Jana Sewa Polyclinic,Bajura,Private,2071
78,Sathi Educational Consultancy,Bajura,Private,2071
79,Arjun Marble and Granite House,Banke,Private,2071
80,Jay Bageshwori Samudayik Polyclinic,Banke,Private,2071
81,Samphire Educational Civilization,Banke,Private,2071
82,hotel pop life,Banke,Private,2071
83,Highlands Hydro,Banke,Private,2071
84,Madhu Cable Network,Banke,Private,2071
85,Radha Krishna Handicraft Industries,Banke,Private,2071
86,Modern Karnali Engineering Tatha Bikash Paramarsha,Banke,Private,2071
87,Jaljala English Boarding Academy Banke,Banke,Private,2071
88,C.S.T. Hotel and party palace,Banke,Private,2071
89,Banke Bageshori Campus,Banke,Private,2071
90,Learn and Change Educational Consultancy Private Limited,Banke,Private,2071
91,Ganga Mala Nirman Tatha Suppliers,Banke,Private,2071
92,Universal Agriculture House,Banke,Private,2071
93,Nepal Cements,Banke,Private,2071
94,Rapti Herbal Processing,Banke,Private,2071
95,Jaya Bageshowri seed company,Banke,Private,2071
96,Banke RosinTurpentine & Herbal,Banke,Private,2071
97,Kaptan Krishi Firm,Banke,Private,2071
98,Saraswati Viddhya Mandir Banke,Banke,Private,2071
99,Ramaroshan Tayari Poshak Udhyog,Banke,Private,2071
100,Vijay Metal Industries,Banke,Private,2071
101,Vimal Metal,Banke,Private,2071
102,Varsha Recycling Industries,Banke,Private,2071
103,Vinod Metal Industries,Banke,Private,2071
104,Yellow Diamond Educational Consultancy,Banke,Private,2071
105,Dynamic Reference Lab & Diagnostic Center,Banke,Private,2071
106,Capital Press,Banke,Private,2071
107,City Investment & Sub Money Transfer Service Pvt. Ltd.,Banke,Private,2071
108,Jaya Medico Distributors,Banke,Private,2071
109,Paschimanchal Hardwares,Banke,Private,2071
110,Sharda Nursing College,Banke,Private,2071
111,Jeevan Raksha Hitech Diagnostic Centre,Banke,Private,2071
112,Shubharambha Investment & Sub Money Transfer Service,Banke,Private,2071
113,Bheri College Nepalganj,Banke,Private,2071
114,Kohalpur Model College,Banke,Private,2071
115,Om Ganapati Industries,Banke,Private,2071
116,Nepal Gold Palace,Banke,Private,2071
117,Nepalganj cold storage and warehousing,Banke,Private,2071
118,Brothers Holiday Travels & Tours,Banke,Private,2071
119,Sachidananda Nirman Sewa And Suppliers,Banke,Private,2071
120,Housing Infrastructure Group Association,Banke,Private,2071
121,Reach Nepal,Banke,Non-Profit Distributing,2071
122,Best Bazaar,Banke,Private,2071
123,Institute of Accounting and Management,Banke,Private,2071
124,Himalayan Academy Manikapur Banke,Banke,Private,2071
125,Rama and Sons Print Services,Banke,Private,2071
126,Bageshori Gas Udhyog,Banke,Private,2071
127,Badimalika Academy Banke,Banke,Private,2071
128,S.B. Multiple Academy Kohalpur,Banke,Private,2071
129,Motherland Agro Products Processing And Promotion Center Banke,Banke,Private,2071
130,M.R.D. Wire Industries,Banke,Private,2071
131,Prince Of Peace Travel & Tours,Banke,Private,2071
132,Buddha Bhumi Agro Forestry,Banke,Private,2071
133,Rural Training & Research Consultancy,Banke,Private,2071
134,Midwestern Educational Academic,Banke,Private,2071
135,H.O. Pharma Nepal,Banke,Private,2071
136,Apostal Academy banke,Banke,Private,2071
137,Ramaroshan Trade Link,Banke,Private,2071
138,B.L.T. Agro Farm,Banke,Private,2071
139,Universal Academy Of Medical Science,Banke,Private,2071
140,Nepal Plywood Industries,Banke,Private,2071
141,College of Opthalmic Health Science,Banke,Private,2071
142,Nepal Mahalaxmi Real Estate,Banke,Private,2071
143,Khadka Industries,Banke,Private,2071
144,Shuvam Itta Udhyog,Banke,Private,2071
145,Jayas Shuva Safal Agriculture,Banke,Private,2071
146,Nepal Industry of Wears,Banke,Private,2071
147,Ramjanaki Campus,Banke,Private,2071
148,Jaya Bageshwari Agro and Dairy Industries,Banke,Private,2071
149,United Motors Suppliers,Banke,Private,2071
150,Lord Bageshwori Vidya Niketan Banke,Banke,Private,2071
151,Anuska Trade,Banke,Private,2071
152,New Multiple College of Software Engineering,Banke,Private,2071
153,Fine Smart International Consultancy,Banke,Private,2071
154,Jaya Bageshwori Traders And Suppliers,Banke,Private,2071
155,Nepal Web Marketing,Banke,Private,2071
156,Bal Bigyan English Boarding School Banke,Banke,Private,2071
157,Green Hill Academy Kohalpur,Banke,Private,2071
158,Bhagwati Farming,Banke,Private,2071
159,Bhawani Electric Company,Banke,Private,2071
160,Shivasya Farming,Banke,Private,2071
161,Public Lord Buddha Academy,Banke,Private,2071
162,Saint Umar Public School Banke,Banke,Private,2071
163,Mid Western Eye Hospital And Research Centre,Banke,Private,2071
164,S.A.G. Traders Nepalgunj,Banke,Private,2071
165,Shree New Era International English Medium School Banke,Banke,Private,2071
166,Ansari Money Changer,Banke,Private,2071
167,Sunrise English Medium School Bankay,Banke,Private,2071
168,Bheri Zone English Medium School Banke,Banke,Private,2071
169,Ganga Gurukul Academy,Banke,Private,2071
170,O.K. Switch and Plastic Industries,Banke,Private,2071
171,Shanti Nandan English Medium School Nepalganj,Banke,Private,2071
172,Nepalgunj Academy Of Management And It,Banke,Private,2071
173,Hygine M.,Banke,Private,2071
174,Ramdev Dental Hospital,Banke,Private,2071
175,Fulbari Educational Academy Banke,Banke,Private,2071
176,Gurukul Educational Academy  Banke,Banke,Private,2071
177,Global Investment and Sub Money Transfer,Banke,Private,2071
178,J.K.Group,Banke,Private,2071
179,Ujyalo Aviyan Media,Banke,Private,2071
180,Biswas Inc.,Banke,Private,2071
181,Navajyoti Boarding School Banke,Banke,Private,2071
182,Kanchanjangha Cold Stores,Banke,Private,2071
183,SARA AUTOMOTORS,Banke,Private,2071
184,Zenith Academy Banke,Banke,Private,2071
185,Jenisha Nirman And Engineering Solutions,Banke,Private,2071
186,Hill Shoes Industries,Banke,Private,2071
187,Hotel City Palace Nepalganj,Banke,Private,2071
188,Global Business Advisory,Banke,Private,2071
189,Hotel Western Riverside,Banke,Private,2071
190,Laiba Interior And Furniture,Banke,Private,2071
191,Kohalpur Food Cafe,Banke,Private,2071
192,Sati Diagnostic Center,Banke,Private,2071
193,Arunima Vidya Sadan Banke,Banke,Private,2071
194,Kotahi Construction and Suppliers,Banke,Private,2071
195,Montessori Smart Kids Banke,Banke,Private,2071
196,Hotel Central Plaza,Banke,Private,2071
197,Khajura Campus Banke,Banke,Private,2071
198,Grand Design and Construction,Banke,Private,2071
199,Banke Bindabasini Security and Manpower Placement,Banke,Private,2071
200,K.I. Wires,Bara,Private,2071
201,A.L. Cabel Network,Bara,Private,2071
202,Shree Rani English Boarding School Bara,Bara,Private,2071
203,Shree English Zone Public School Bara,Bara,Private,2071
204,Gadhimai Steel Industries,Bara,Private,2071
205,Shree Hanumanraj Polymer,Bara,Private,2071
206,Gyanganga Angreji Boarding School Bara,Bara,Private,2071
207,Bariyapur Gyan Ganga Boarding School Bara,Bara,Private,2071
208,Simra Paradise Hotel,Bara,Private,2071
209,Bodhi Mai Krishi,Bara,Private,2071
210,Nirmala Entertainment,Bara,Private,2071
211,Little Angel English Boarding School Bara,Bara,Private,2071
212,K. & K. Hydro And Engineering Works,Bara,Private,2071
213,Rimjhim Multi Investment,Bara,Private,2071
214,Ravi Cable Network,Bara,Private,2071
215,Milijuli Bahuuddeshiya Krishi Farm,Bara,Private,2071
216,Bara Krishi Utpadan Kendra,Bara,Private,2071
217,Suhana Ship Tatha Bayawasayik Prashikchan Kendra,Bara,Private,2071
218,Kolhabi Cold Store,Bara,Private,2071
219,S.N. Advertizing,Bara,Private,2071
220,Bara Investment,Bara,Private,2071
221,Amrapali Investment,Bara,Private,2071
222,Simara Security Service,Bara,Private,2071
223,Mankamna Oil & Food Processing,Bara,Private,2071
224,Sharp Cable Net,Bara,Private,2071
225,Nijgadha Agrotech Nepal,Bara,Private,2071
226,Shuvarambha College,Bara,Private,2071
227,Banasapti Krishi Farm,Bara,Private,2071
228,Bishwas Media,Bara,Private,2071
229,Ganesh Dewa Jewellers,Bara,Private,2071
230,Shivam Jewellers,Bara,Private,2071
231,Neupane Krishi Suppliers,Bara,Private,2071
232,Pabitra Gagan Nirman Sewa,Bara,Private,2071
233,T.F. Construction,Bara,Private,2071
234,Shree Krishna  Traders,Bara,Private,2071
235,Gyan Sarobar English Boarding School Bara,Bara,Private,2071
236,Sagarmatha Logistics,Bara,Private,2071
237,Happy Cinema,Bara,Private,2071
238,Kumari Charawanta Agriculture Center,Bara,Private,2071
239,Emmanuel Montessori Children Kingdom,Bara,Private,2071
240,Baudhimai Krishi Farm,Bara,Private,2071
241,Manju Kailash Krishi  Farm House,Bara,Private,2071
242,Narmada Automobiles,Bara,Private,2071
243,Himal Enginearing industris,Bara,Private,2071
244,Trishakti Agro Chemicals,Bara,Private,2071
245,Sunrise English School Bara,Bara,Private,2071
246,Umbrella  Multipurpose,Bara,Private,2071
247,Rameshwar English Boarding School Balirampur,Bara,Private,2071
248,Vidhyapith English Boarding School Bara,Bara,Private,2071
249,Shree Veena Academy Bara,Bara,Private,2071
250,National Public School Bara,Bara,Private,2071
251,Kalaiya Sunshine English Boarding School Bara,Bara,Private,2071
252,Rose Academy Bara,Bara,Private,2071
253,Kanti Academy Bara,Bara,Private,2071
254,Children World English Boarding School Bara,Bara,Private,2071
255,Diamond Travel,Bara,Private,2071
256,Trinity Natural Resources,Bara,Private,2071
257,Garden Safari Resort,Bara,Private,2071
258,"Paramount English Boarding School, Bara.",Bara,Private,2071
259,Nijgadh Hospital & Education Foundation,Bara,Private,2071
260,"Nav Suryodaya English Boarding School, Bara",Bara,Private,2071
261,Gadhimai Agro Vet Fishries Farm,Bara,Private,2071
262,Mahato Pashu Panchhi Farm,Bara,Private,2071
263,T. A. International Travels & Tours,Bara,Private,2071
264,Simara Housing And Developers,Bara,Private,2071
265,Indra Jeet English Boarding School Bhatauda,Bara,Private,2071
266,Bijay Sub Remit,Bara,Private,2071
267,Hari Engineering Works,Bara,Private,2071
268,Perfect Agri Solution Nepal,Bara,Private,2071
269,Mahendra Memorial English Boarding School Bara,Bara,Private,2071
270,Namaste Future Star Academy,Bara,Private,2071
271,United Public School Bara,Bara,Private,2071
272,Prince English Boarding School Bara,Bara,Private,2071
273,Diamond Boarding School Bara,Bara,Private,2071
274,Deep English Boarding School Bara,Bara,Private,2071
275,Sanjween English Boarding School Bara,Bara,Private,2071
276,Shubhakamana Oil Store,Bardiya,Private,2071
277,Beluwa Bahauudheshiya Krishi Firm,Bardiya,Private,2071
278,Shadashiva Cable Network,Bardiya,Private,2071
279,Guheshwori Cable Net,Bardiya,Private,2071
280,Raj English Medium Boarding School Bardiya,Bardiya,Private,2071
281,Chaulagai Agro Farm,Bardiya,Private,2071
282,Danfe English Medium Boarding School Bardiya,Bardiya,Private,2071
283,Krrishal Academy Bardiya,Bardiya,Private,2071
284,Rajapur Communication,Bardiya,Private,2071
285,Engineering Planning Consultancy Team,Bardiya,Private,2071
286,New Horizon Academy Bardia,Bardiya,Private,2071
287,K.R.P. Memorial Academy Bardiya,Bardiya,Private,2071
288,Bardia Tiger Network,Bardiya,Private,2071
289,Uday Public School bardiya,Bardiya,Private,2071
290,World Vision Academy Bardia,Bardiya,Private,2071
291,United Polyclinic Bardiya,Bardiya,Private,2071
292,Tek Samundra Khetibari,Bardiya,Private,2071
293,Rising Star Academy Bardiya,Bardiya,Private,2071
294,"Baniyabhar English School, Bardia",Bardiya,Private,2071
295,Madhyapashchim Polyclinic and Diagnostic Center,Bardiya,Private,2071
296,Belawa Krishi Farm,Bardiya,Private,2071
297,Aayushma Export Import,Bhaktapur,Private,2071
298,Global Creatives,Bhaktapur,Private,2071
299,Career Disha Nepal,Bhaktapur,Non-Profit Distributing,2071
300,Rabira Enterprises Pvt.Ltd.,Bhaktapur,Private,2071
301,Estate Guru Pvt. Ltd.,Bhaktapur,Private,2071
302,Duce Enterprises Pvt. Ltd.,Bhaktapur,Private,2071
303,Gaurishankar  Thangka Panting & School,Bhaktapur,Private,2071
304,Avid International Pvt. Ltd.,Bhaktapur,Private,2071
305,Mumbo Trading,Bhaktapur,Private,2071
306,National Mobile Community Clinic,Bhaktapur,Private,2071
307,Lovely Walker,Bhaktapur,Private,2071
308,Fast Track Construction,Bhaktapur,Private,2071
309,Shiva Baba Fabric,Bhaktapur,Private,2071
310,Relax Investment Pvt.Ltd.,Bhaktapur,Private,2071
311,Lapsus Suppliers Pvt. Ltd.,Bhaktapur,Private,2071
312,Recto Suppliers,Bhaktapur,Private,2071
313,Penguin Trading Pvt. Ltd.,Bhaktapur,Private,2071
314,Developer Construction,Bhaktapur,Private,2071
315,Social Development And Health Research Company,Bhaktapur,Private,2071
316,Smart Energy Solution,Bhaktapur,Private,2071
317,Sushila Bhairab Security Service,Bhaktapur,Private,2071
318,Punya Bhumi Academy of I.T.,Bhaktapur,Private,2071
319,Indrashan Banquet & Restaurant,Bhaktapur,Private,2071
320,jeniss Organic Farm & Industries,Bhaktapur,Private,2071
321,Namuna Mitra Nirman and Suppliers,Bhaktapur,Private,2071
322,Awal construction Works pvt.ltd,Bhaktapur,Private,2071
323,Vinayak Renewable Energy,Bhaktapur,Private,2071
324,Nepal Mine & Geological Research & Supplies,Bhaktapur,Private,2071
325,Unique Metal,Bhaktapur,Private,2071
326,M.U.B. Group,Bhaktapur,Private,2071
327,Shree Ganapati Aluminium Steel  And Interior Works,Bhaktapur,Private,2071
328,Karyasiddi Trade Nepal,Bhaktapur,Private,2071
329,Galaxy engineering trade link,Bhaktapur,Private,2071
330,Champak Agri Fresh,Bhaktapur,Private,2071
331,Energy For Change Nepal,Bhaktapur,Private,2071
332,Prerana Agro,Bhaktapur,Private,2071
333,R. And R. Steel Structures,Bhaktapur,Private,2071
334,Beyond The Four Walls,Bhaktapur,Non-Profit Distributing,2071
335,K.G.K. Suppliers,Bhaktapur,Private,2071
336,S.& S.Suppliers,Bhaktapur,Private,2071
337,Diva International,Bhaktapur,Private,2071
338,Infolio International,Bhaktapur,Private,2071
339,Spark Trading & Suppliers,Bhaktapur,Private,2071
340,Gattha Araniko International Education Foundation,Bhaktapur,Private,2071
341,Home Solution,Bhaktapur,Private,2071
342,Riva Travel & Tours,Bhaktapur,Private,2071
343,Easy Link International,Bhaktapur,Private,2071
344,Kathmandu Manakamana Export Pvt. Ltd.,Bhaktapur,Private,2071
345,Chwanga Ganesh Academy Bhaktapur,Bhaktapur,Private,2071
346,Nice Flexi Foam Industries,Bhaktapur,Private,2071
347,Beilngries youth for health and technology,Bhaktapur,Private,2071
348,Manakamana Recondition pvt.Ltd,Bhaktapur,Private,2071
349,Shubham Agro,Bhaktapur,Private,2071
350,Space Trade & Suppliers,Bhaktapur,Private,2071
351,S.& S. Cinemas,Bhaktapur,Private,2071
352,Irene Consults & Research,Bhaktapur,Private,2071
353,Imperial International,Bhaktapur,Private,2071
354,Rabi Suppliers,Bhaktapur,Private,2071
355,Kshamadevi Aluminium Profile,Bhaktapur,Private,2071
356,Shubharambha Pre School,Bhaktapur,Private,2071
357,Dynamic Washing,Bhaktapur,Private,2071
358,Helix Garmentas Pvt.Ltd.,Bhaktapur,Private,2071
359,Mahiv Traders,Bhaktapur,Private,2071
360,Nepal College Of Professional Studies,Bhaktapur,Private,2071
361,Xenon Civil Planer,Bhaktapur,Private,2071
362,Dhungeswori Agro,Bhaktapur,Private,2071
363,Supreme Auto Engineering,Bhaktapur,Private,2071
364,Shree Riddhi Siddhi Metal Industries,Bhaktapur,Private,2071
365,Volcus Soft,Bhaktapur,Private,2071
366,Life Mission Impossible to Possible Initiative Council,Bhaktapur,Private,2071
367,Siddi Home,Bhaktapur,Private,2071
368,Nexus Trading,Bhaktapur,Private,2071
369,Tech Estate Venture,Bhaktapur,Private,2071
370,Araniko Auto Mobile,Bhaktapur,Private,2071
371,The Online Bazaar,Bhaktapur,Private,2071
372,J & J. Importers,Bhaktapur,Private,2071
373,Uttam Sony Krishi Tatha Pasupalan Company,Bhaktapur,Private,2071
374,Siddartha International Hotel,Bhaktapur,Private,2071
375,Three R Business Inc.,Bhaktapur,Private,2071
376,Gangahari NIrman Sewa,Bhaktapur,Private,2071
377,Modern Liza International,Bhaktapur,Private,2071
378,synergy accounting consultancy,Bhaktapur,Private,2071
379,Yuwa Krishi Farm,Bhaktapur,Private,2071
380,Aquarius Engineers,Bhaktapur,Private,2071
381,Yonjan Krishi Firm,Bhaktapur,Private,2071
382,Dynamic Marketing,Bhaktapur,Private,2071
383,Vedanta College Bhaktapur,Bhaktapur,Private,2071
384,Kamarupa Export Import,Bhaktapur,Private,2071
385,Bageswari Nagarkot Cable Way,Bhaktapur,Private,2071
386,Gaumata Aadhunik Krishi Farm,Bhaktapur,Private,2071
387,Dip Jyoti Thangka Udhyog,Bhaktapur,Private,2071
388,Anik Thangka Art,Bhaktapur,Private,2071
389,Sudikshaya Enterprises,Bhaktapur,Private,2071
390,Milijuli Dry Cleaners,Bhaktapur,Private,2071
391,Sindhu Copy Udyog,Bhaktapur,Private,2071
392,Binayak Bag Udhyog,Bhaktapur,Private,2071
393,Jay Guru Ganesh Krishi Farm,Bhaktapur,Private,2071
394,Sangita Housing Finishing,Bhaktapur,Private,2071
395,Hama Construction,Bhaktapur,Private,2071
396,D.Finder Architects,Bhaktapur,Private,2071
397,Bhaktapur  Health Concern,Bhaktapur,Private,2071
398,Business Point,Bhaktapur,Private,2071
399,Tamrakar Corporate Group,Bhaktapur,Private,2071
400,S.R.S.S. Investment Company,Bhaktapur,Private,2071
401,Paragan Pre Primary School Bhaktpur,Bhaktapur,Private,2071
402,Hotel Traditional,Bhaktapur,Private,2071
403,East Link Sub Money Transfer,Bhaktapur,Private,2071
404,Urja Foam Industries,Bhaktapur,Private,2071
405,Situ Trade and Construction,Bhaktapur,Private,2071
406,Yakti Ajima Trade Link,Bhaktapur,Private,2071
407,T.H.S. Suppliers,Bhaktapur,Private,2071
408,Nepas Consultancy,Bhaktapur,Private,2071
409,Mountain Multiple Consultancy,Bhaktapur,Private,2071
410,Taleju Banquet,Bhaktapur,Private,2071
411,Mata Tripura Devi Investment,Bhaktapur,Private,2071
