_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
26671,MOTHER TERESA PUBLIC SCHOOL,Dhanusha,Private,2059
26672,UNITED INTERNATIONAL TRADE LINK,Chitwan,Private,2059
26673,Suprabha English Vidya Sadan Jhapa,Jhapa,Private,2059
26674,Bigyan Jyoti English School Jhapa,Jhapa,Private,2059
26675,ADHARSHILA ENGLISH BOARDING SCHOOL,Kathmandu,Private,2059
26676,NEW PRATIBHA ACADEMY JHAPA,Jhapa,Private,2059
26677,SHREESHIVASHANKER EDUCATION FOUNDATION JHAPA,Jhapa,Private,2059
26678,SIDDHASTHALI ENGLISH BOARDING SCHOOL,Sindhuli,Private,2059
26679,SHAILASHIKHAR ACADEMY JHAPA,Jhapa,Private,2059
26680,MOTHERLAND INSTITUTE OF EDUCATION AND RESEARCH CENTER JHAPA,Jhapa,Private,2059
26681,THE MECHI EDUCATION FOUNDATION,Jhapa,Private,2059
26682,SAINIK BAL SHIKSHA JHAPA PVT. LTD.,Jhapa,Private,2059
26683,NOBLE EDUCATION FOUNDATION JHAPA PVT. LTD.,Jhapa,Private,2059
26684,VIDYA NIKETAN,Jhapa,Private,2059
26685,VICTORYSTAR ACADEMY,Jhapa,Private,2059
26686,SHIVAM SHISHU NIKETAN,Jhapa,Private,2059
26687,THE NARAYAN EDUCATION FOUNDATION,Jhapa,Private,2059
26688,WEST POINT GROUP KATHMANDU,Kathmandu,Private,2059
26689,LEARNERS INTERNATIONAL RESIDENTIAL ACADEMY,Kathmandu,Private,2059
26690,RANGA' APSARA CHIYA WATIKA,Jhapa,Private,2059
26691,CAMBRIDGE (THE) ACADEMY JHAPA PVT. LTD.,Jhapa,Private,2059
26692,Cosmos English  School Kathmandu,Parsa,Private,2059
26693,SHAILESHWARI NETWORK,Kailali,Private,2059
26694,AUTO WAYS,Kaski,Private,2059
26695,FRESH LIVESTOCK,Kathmandu,Private,2059
26696,SUNGABHA SHIKSHA NIKETAN ENGLISH SCHOOL MAKAWANPUR,Makwanpur,Private,2059
26697,Commoners  Home for Education Foundation,Jhapa,Private,2059
26698,SOMNATH BABA MADHYAMIK VIDHYALAYA NAWALPARASI,Nawalparasi,Private,2059
26699,COSMOS ENGLISH SCHOOL KATHMANDU,Kathmandu,Private,2059
26700,PURBIYA LITTLE ANGELS EDUCATION FOUNDATION JHAPA,Jhapa,Private,2059
26701,Swarnim Bhavishya Kavrepalanchowk,Kavrepalanchowk,Private,2059
26702,DIGDARSHAN ACADEMY,Nawalparasi,Private,2059
26703,THE SEVEN STAR  EDUCATIONAL FOUNDATION JHAPA,Jhapa,Private,2059
26704,ST. PAUL'S ACADEMY,Jhapa,Private,2059
26705,INTEGRATED PURBANCHAL EDUCATION FOUNDATION*,Jhapa,Private,2059
26706,OXBRIDGE FOUNDATION LALITPUR,Lalitpur,Private,2059
26707,A.B. BRICK & TILE INDUSTRIES,Morang,Private,2059
26708,BAISHALI ENTERPRISES,Kathmandu,Private,2059
26709,GYANDIP EDUCATION FOUNDATION,Makwanpur,Private,2059
26710,KANTIPUR HARDWARE And TRADE LINK,Kathmandu,Private,2059
26711,ANNAPURNA ANUSANDHAN TATHA BIKAS KENDRA,Kathmandu,Private,2059
26712,UNITED AGRICULTURE PIPE INDUSTRIES,Parsa,Private,2059
26713,L.P. EDUCATION SERVICE,Jhapa,Private,2059
26714,HIMALAYAN GREEN HILLS TRADING COMPANY,Kathmandu,Private,2059
26715,RUDRA MEMORIAL EDUCATION FOUNDATION JHAPA,Jhapa,Private,2059
26716,Columbus Education Kathmandu,Kathmandu,Private,2059
26717,PASHCHIMANCHAL CULTURAL CENTRE PVT. LTD.,Kathmandu,Private,2059
26718,BHRIKUTI PRAGATI ENGLISH BOARDING SCHOOL *,Nawalparasi,Private,2059
26719,BANEPALI YATAYAT SEWA PVT. LTD.,Kavrepalanchowk,Private,2059
26720,W.P. INTERNATIONAL,Lalitpur,Private,2059
26721,SUMNIMA HIMALAYAN EXPORT IMPORT PVT. LTD.,Kathmandu,Private,2059
