_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,Yomari Tha,Morang,Private,2063
2,WAVE NET TECHNOLOGY,Kathmandu,Private,2063
3,K.P. BYABASAYIK SEWA PVT. LTD.,Surkhet,Private,2063
4,SOUTH ASIAN EMPLOYMENT,Kathmandu,Private,2063
5,ERIKA INTERNATIONAL,Kathmandu,Private,2063
6,OPEN VISION CONSULTANT,Kathmandu,Private,2063
7,RAPPORT INTERNATIONAL COMPANY,Kathmandu,Private,2063
8,SHIKHA POLY CLINIC AND DIAGNOSTIC CENTER WITH DENTAL CARE,Jhapa,Private,2063
9,BHERI BIDHYA MANDIR ENGLISH SCHOOL BANKE,Banke,Private,2063
10,LOTUS DEVELOPER,Lalitpur,Private,2063
11,GARDEN VILLA  DEVELOPER,Lalitpur,Private,2063
12,DELIGHT EDUCATION FOUNDATION & CONSULTANCY,Kathmandu,Private,2063
13,GODAVARI DEVELOPER,Lalitpur,Private,2063
14,H.R. CONSULTANTS,Lalitpur,Private,2063
15,KAILASH COLONY KHANEPANI,Kathmandu,Private,2063
16,SERVING BEST TRADING PVT. LTD.,Kathmandu,Private,2063
17,RAM SETI INVESTMENT COMPANY,Kaski,Private,2063
18,OASIS DEVELOPER PVT. LTD.,Lalitpur,Private,2063
19,Subhechya International Pvt .Ltd.,Lalitpur,Private,2063
20,SHIVASHAKTI EDUCATION FOUNDATION,Dhanusha,Private,2063
21,Nepal bank,Kathmandu,Public,2063
22,JAVRA SOFTWARE NEPAL,Lalitpur,Private,2063
23,BIRAT SAI ACADEMY,Parsa,Private,2063
24,ANNEX WORLDWIDE EXPRESS,Kathmandu,Private,2063
25,MILAN COMMUNICATION,Kathmandu,Private,2063
26,GOOD LUCK HOUSING AND CONSTRUCTION COMPANY,Kathmandu,Private,2063
27,AARAMBHA MEDIA,Kathmandu,Private,2063
28,Rastriya Banija Bank,Kathmandu,Public,2063
29,NIAGARA FALLS IMMIGRATION & EDUCATIONAL CONSULTANCY,Kathmandu,Private,2063
