_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
116,Trikon Engineering Consultancy,Kathmandu,Private,2065
117,Shubh Interior and Labh Traders,Kathmandu,Private,2065
118,Aakriti Media & Entertainment,Kathmandu,Private,2065
119,Bhagyashwar Printing & Suppliers Company,Kathmandu,Private,2065
120,Saa International,Kathmandu,Private,2065
121,Glorious Export Import,Kathmandu,Private,2065
122,Worldlink Lahan Communication,Siraha,Private,2065
123,Hope Flower Trading,Kathmandu,Private,2065
124,ASHA KO FUL MINING COMPANY,Kathmandu,Private,2065
125,Inno-Tech Nepal,Lalitpur,Private,2065
126,Om Shanti Om Tours &  Travels,Kathmandu,Private,2065
127,Ever Prime Educational Consultancy Center,Kathmandu,Private,2065
128,Golden ABC Academy,Banke,Private,2065
129,Rangbo Garments Nepal,Lalitpur,Private,2065
130,Rhythm International Education,Kathmandu,Private,2065
131,Chandani Baluwa Udhyog,Kathmandu,Private,2065
132,Dupcheshwari Plastic Udhyog,Kathmandu,Private,2065
133,Worldlink Hetauda Communication,Makwanpur,Private,2065
134,Pioneer Solar Company,Lalitpur,Private,2065
135,Chandra Surya Niwas Nirman Sewa,Kathmandu,Private,2065
136,Gongabu Sub Money Transfer,Kathmandu,Private,2065
137,Faithful Academy,Lalitpur,Private,2065
138,Samyukta Aawash Bikash Company,Kathmandu,Private,2065
139,Kailash Automobiles,Kathmandu,Private,2065
140,Jyoti Educational Consultancy Center Nepal,Kathmandu,Private,2065
141,Duti-Ful Travels & Tours,District not known,Private,2065
142,U. & S. Real Estate & Housing Company,Kathmandu,Private,2065
143,P.P.S. Media Service,Kathmandu,Private,2065
144,Canvas Advertising Agency,Kathmandu,Private,2065
145,Phuljor Baba Janasewa Wachat Investment,Sarlahi,Private,2065
146,Saras International,Kathmandu,Private,2065
147,S.S.R.L. Housing Company,Kathmandu,Private,2065
148,Shangrila Housing,Kathmandu,Private,2065
149,Classic Furnishing Center,Kathmandu,Private,2065
150,Admix Media Advertising,Kathmandu,Private,2065
151,Yatra Computer,Kathmandu,Private,2065
152,Sustainable Women Development & Research Center,Lalitpur,Non-Profit Distributing,2065
153,Mattim Bright Future English Boarding School,Khotang,Private,2065
154,Smart Open Academy,Kaski,Private,2065
155,Alpine Everest Guides Nepal Treks & Expedition,Kathmandu,Private,2065
156,Dynamic Vision Engineering and Reality,Kaski,Private,2065
157,Samson International,Kathmandu,Private,2065
158,Dynamic Event Management,Kathmandu,Private,2065
159,Marigold Nepal,Kathmandu,Private,2065
160,Sher Construction & Convey,Bhaktapur,Private,2065
161,Asset Recovery Management,Kathmandu,Private,2065
162,Surakshit Security Training,Kaski,Private,2065
163,Makalu Security Service,Sunsari,Private,2065
164,Mata Manakamana Aawash Company,District not known,Private,2065
165,J.D.M. Educational Consultancy,Lalitpur,Private,2065
166,Siddhartha Bidhya Niketan Dhangadhi,Kailali,Private,2065
167,Gulf Auto Care & Driving Training Center,Jhapa,Private,2065
168,Sudarshan English Boarding School,Udayapur,Private,2065
169,Chirayu Dental Hospital & Research Centre,Morang,Private,2065
170,Yojana Developers Company,Kathmandu,Private,2065
171,Siddha Bhairab Digital Colour Lab,Palpa,Private,2065
172,Leena Trade Concern,Kathmandu,Private,2065
173,Himchuli Jagga Tatha Awas Company,Jhapa,Private,2065
174,Vision Dream World Consultancy,Kaski,Private,2065
175,Absolute Research & Advertising,Kathmandu,Private,2065
176,Janakpur Public English Awasiya School Dhanusha,Dhanusha,Private,2065
177,Bennebroek Hotel & Restaurant,Kaski,Private,2065
178,K.U.P. Complex,Kathmandu,Private,2065
179,Sindhuligadhi Public English School,District not known,Private,2065
180,Danial Edward Garment Industries,Kathmandu,Private,2065
181,Mark Global Logistics,Kathmandu,Private,2065
182,Silk Road Consaltancy,Kathmandu,Private,2065
183,Prachanda International Education,Kathmandu,Private,2065
184,Chaturbhujeshwar Financial Service,Sarlahi,Private,2065
185,Shrijanshil Prativa Shiksha,Kathmandu,Private,2065
186,Pragati Investment,Kathmandu,Private,2065
187,Journey's & Karma Treks,Kathmandu,Private,2065
188,Astabhuj Construction,Kathmandu,Private,2065
189,Lord Krishna Smita English Medium School,Banke,Private,2065
190,Bijaya Laxmi Property Dealers,Kathmandu,Private,2065
191,Planet Earth Tours,Kathmandu,Private,2065
192,Dangol Nirman Sewa,Kathmandu,Private,2065
193,Peaceful Himalaya Trekking,Kathmandu,Private,2065
194,Freight Master Logistics,District not known,Private,2065
195,Sahash Tours and Travels,Kailali,Private,2065
196,Trekkers Adventure Life Style,Kathmandu,Private,2065
197,Mirmire Computer Training Institute,Kathmandu,Private,2065
198,Community Media,Morang,Private,2065
199,Uram Namuna English Boarding School,District not known,Private,2065
200,Om Prem Guest House,Lalitpur,Private,2065
201,Trishul Export,Kathmandu,Private,2065
202,Vidyapati Memorial English Boarding School,Dhanusha,Private,2065
203,Pragyic Consultancy,Kathmandu,Private,2065
204,Education & Profession Training Institute Nepal,Kathmandu,Private,2065
205,Clover Tour & Travels,Kathmandu,Private,2065
206,U. & B. Hospital,Kathmandu,Private,2065
207,Divine World Tours & Travels,Kathmandu,Private,2065
208,Ad. Guru,Kathmandu,Private,2065
209,Bal Pratibha English Bidhyalaya,Dang,Private,2065
210,Diva Tours and Travels,Kathmandu,Private,2065
211,Mor Pheus Computers,Kathmandu,Private,2065
212,Praxis Pharmaceutical,Kathmandu,Private,2065
213,Mount Everest Sherpa Treks & Expedition,Kathmandu,Private,2065
214,Kalpa Vrichchya Consulting,Kathmandu,Private,2065
215,Om Aashutosh Housing,Kathmandu,Private,2065
216,Lumbini Pharmaceuticals,Rupandehi,Public,2065
217,Sahabhagita Housing & Development,Kathmandu,Private,2065
218,Nepal Lucky British Gorkha Physical Education Centre,Sunsari,Private,2065
219,Recent Media,Kathmandu,Private,2065
220,World Destination Tours & Travels,Kathmandu,Private,2065
221,Greenlight Academy,Kailali,Private,2065
222,Annapurna Foothills Treks & Expedition,Kathmandu,Private,2065
223,Khasti Pucha Investment,District not known,Private,2065
