_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,ANARWATI HOSPITAL,Dhanusha,Private,2068
2,Eye Line Information Technology,Lalitpur,Private,2068
3,Maitri Multi Farming,Lalitpur,Private,2068
4,"SHREE TIMBU TIJOR RODA, DUNGA, AND BLOCK UDDHYOG",Panchthar,Private,2068
5,Gigapac Technologies,Kathmandu,Private,2068
6,JEEVANTA TRADE LINKS,Chitwan,Private,2068
7,Himalayan Asia Scientific Concern,Kathmandu,Private,2068
8,FANTASTIC NEPAL HOLIDAYS,Lalitpur,Private,2068
9,AIR TOUCH TRAVELS AND TOURS,Kathmandu,Private,2068
10,SKY PARK TRAVEL AND TOURS,Kathmandu,Private,2068
11,HOTEL SAUGAT,Kathmandu,Private,2068
12,SHIVAJYOTISH ANUSANDHAN KENDRA,Morang,Private,2068
13,Gmat Felt & Craft,Kathmandu,Private,2068
14,Iris Educational Consultancy,Lalitpur,Private,2068
15,Ever Star Motors,Kathmandu,Private,2068
16,MONALISA MASSAGE & BEAUTY PARLOUR,Kathmandu,Private,2068
17,INSIGNIA INVESTMENT COMPANY,Kathmandu,Private,2068
18,International Specious Housing,Kathmandu,Private,2068
19,MARINOS TRAVEL AND TOURS,Kathmandu,Private,2068
20,Chomolangma Industries,Kathmandu,Private,2068
21,Synergy Nepal Construction,Lalitpur,Private,2068
22,B.B.N. Travel & Cruise,Kathmandu,Private,2068
23,Zambala Construction,Kathmandu,Private,2068
24,E-Mega Tech Solution.  Inc.,Lalitpur,Private,2068
25,Prabidhi,Kathmandu,Private,2068
26,LANCO INFRATECH NEPAL,Kathmandu,Private,2068
27,BLUEBIRD MART,Kathmandu,Private,2068
28,Link Youth Media,Kathmandu,Private,2068
29,NepaByte,Kathmandu,Private,2068
30,PLUS DOT NP,Bhaktapur,Private,2068
31,M.K. Media,Kathmandu,Private,2068
32,S.T.G. International Company,Kathmandu,Private,2068
33,Array International,Kathmandu,Private,2068
34,Engineering Design And Development Services,Kathmandu,Private,2068
35,BARDALE CABLE NETWORK,Palpa,Private,2068
36,Siddhartha Creation,Kathmandu,Private,2068
37,PAINT BALL INTERNTIONAL,Kathmandu,Private,2068
38,Universal College of Management,Kathmandu,Private,2068
39,SINGH DEVI NIRMAN SEWA,Kailali,Private,2068
40,Lord Buddha Suppliers & Services,Kathmandu,Private,2068
41,Topper's Academy  Foundation,Kathmandu,Private,2068
42,KRISHI SUCHANA TATHA SANCHAR PRABIDHI PRAKASHAN,Kathmandu,Private,2068
43,AYUSHMA TRAINING CENTER,Kaski,Private,2068
44,Biz Travels Management Incorporated,Kathmandu,Private,2068
45,DEUDHUNGA HYDROPOWER,Kathmandu,Private,2068
46,Paschimanchal Agro Farm,Chitwan,Private,2068
47,Mountain Farming,Kathmandu,Private,2068
48,Out Look I.T. Link,Banke,Private,2068
49,RADHA KRISHNA MODERN SCHOOL,Rupandehi,Private,2068
50,BLUE BERRY MONTESSORI ACADEMY,Kathmandu,Private,2068
51,Ambience International School Janakpur,Dhanusha,Private,2068
52,R.B.Builders,Lalitpur,Private,2068
53,Nepal Himalayan Heritage Tourism,Kathmandu,Private,2068
54,Swargadwari Drinking Water,Dang,Private,2068
55,Ma Durga Concrete Udhyog,Jhapa,Private,2068
56,B.N.B. Trade Link and Consult,Lalitpur,Private,2068
57,Creative Mid Point,Chitwan,Private,2068
58,Rara Prabidik Shikshalaya Bardibas Mahotari,Mahottari,Private,2068
59,Marcopolo Medical Center,Kathmandu,Private,2068
60,Classic German Bakery Cafe & Restaurant,Kathmandu,Private,2068
61,Sun Star Cable Network,Kathmandu,Private,2068
62,Supreme Employment Concern,Kathmandu,Private,2068
63,Kushal Agriculture Research and Development Centre,Kathmandu,Private,2068
64,Career Point,Lalitpur,Private,2068
65,Sunbi Technologies,Kathmandu,Private,2068
66,Pokhara Seed Company,Kaski,Private,2068
67,Holidays Everest View Travel And Tours,Kathmandu,Private,2068
68,Metrovest Investment,District not known,Private,2068
69,Green World Business,Kathmandu,Private,2068
70,Dhading Vidhyut Bikash Company,Dhading,Public,2068
71,Dhruba Tara Steel Tatha Kasthakala Furniture Udhyog,Kailali,Private,2068
72,Everest Suppliers,Lalitpur,Private,2068
73,Karnali Prabhat Bikas Academy,Kalikot,Private,2068
74,S.S. Nepal Education Consultancy,Kathmandu,Private,2068
75,Himshikhar Rugs & Craft,Lalitpur,Private,2068
76,Om Sai Ram Carpet Industires,Kathmandu,Private,2068
77,Arman Construction and Suppliers,Kathmandu,Private,2068
78,Innovative Entertainment,Kathmandu,Private,2068
79,Sagar Diagnostic and Research Center,Banke,Private,2068
80,Multipurpose Engineering Group of Company,Bhaktapur,Private,2068
81,P.E.T. Product & Closures Manufacture Association,Kathmandu,Non-Profit Distributing,2068
82,Civil Plastic Industries,Banke,Private,2068
83,Deep Electronics,Kaski,Private,2068
84,Hotel Good Home,Kathmandu,Private,2068
85,Race Educare,Kathmandu,Private,2068
86,Sporting Life,Kathmandu,Private,2068
87,Chhantyal Livestocks & Feeds,Kathmandu,Private,2068
88,Maula Care Center,Chitwan,Private,2068
89,Elegant Educational Institute,Kathmandu,Private,2068
90,Padma-Dal Book & Stationery,Kathmandu,Private,2068
91,Sub Way Thamel,Kathmandu,Private,2068
92,Nepal Sunrise Hospitality,Kathmandu,Private,2068
93,S R S International,Kathmandu,Private,2068
94,R.S. Polyclinic,Dhading,Private,2068
95,Swarnim Enterprises,Kathmandu,Private,2068
96,Manakaman Dry Cleaners,Kathmandu,Private,2068
97,Busisoft Solutions,Kathmandu,Private,2068
98,Galaxy Soap & Chemicals,Banke,Private,2068
99,Kabita Perfumery Udhyog,Kathmandu,Private,2068
100,New Sunshine English Academy Diman Saptari,Saptari,Private,2068
101,The Art Glow Sign,Kathmandu,Private,2068
102,Bright Broadcasting,Kathmandu,Private,2068
103,Rafting Star,Kathmandu,Private,2068
104,Viator Nepal,Kathmandu,Private,2068
105,Prashant English Medium Boarding School Surkhet,Surkhet,Private,2068
106,Thapa Nirman Sewa,Ramechhap,Private,2068
107,Himalayan Organic Tulsi,Kathmandu,Private,2068
108,Bittiya Karobar Paramarsha Kendra,Kathmandu,Private,2068
109,Nilgiri Multi Agro Research & Development Centre,Chitwan,Private,2068
110,Ojasvi Services,Kathmandu,Private,2068
111,Ashlesha Enterprises,Kathmandu,Private,2068
112,Sixth Sense Investment Company,Kathmandu,Private,2068
113,Ritika Craft,Kathmandu,Private,2068
114,eGates Computer Market,Kathmandu,Private,2068
115,Kamal Kunj English School,Okhaldhunga,Private,2068
116,Far Movies,Kathmandu,Private,2068
117,Koshi Sarbajanik Yatayat,Sunsari,Private,2068
118,Koshi Engineering Workshop,Sunsari,Private,2068
119,Genius Generation Academy Doti,Doti,Private,2068
120,Remix International Marriage Bureau,Kathmandu,Private,2068
121,Seti Maa Suppliers,Kathmandu,Private,2068
122,AArati Housing,Kathmandu,Private,2068
123,Udaya Cable Network,Syangja,Private,2068
124,S.B.R. Carpet Washing,Kathmandu,Private,2068
125,Two Yugal Service,Kathmandu,Private,2068
126,Import U.S.A.,Kathmandu,Private,2068
127,Idea Dot Com,Kailali,Private,2068
128,Om Radha Krishna Trading Concern,Kathmandu,Private,2068
129,H.B.Dynamic Health Institute,Dang,Private,2068
130,O To E Level Training & Production Home,Kathmandu,Private,2068
131,Sakela Recreation & Culture Exchange,Kathmandu,Private,2068
132,Himalayan Eco Retreat,Kathmandu,Private,2068
133,Sunforce Solar Energy And Investment,Kathmandu,Private,2068
134,Temple Trail Adventure,Kathmandu,Private,2068
135,Himthalo Construction Company,Palpa,Private,2068
