_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,Ghan Om Shree Human Resource,Kathmandu,Private,2067
2,Panas Herbal Product,Kathmandu,Private,2067
3,Amarawati Habitat,Kathmandu,Private,2067
4,Caldron Sub Remit,Kathmandu,Private,2067
5,Aishwarya International,Kathmandu,Private,2067
6,Upgrade Management Group,Kathmandu,Private,2067
7,Budhanilkantha Beverage Product,Kathmandu,Private,2067
8,Dhumbarahi Mart,Kathmandu,Private,2067
9,Renewable Energy and Economic Development Center,Lalitpur,Private,2067
10,Pine View Education Consultancy,Kathmandu,Private,2067
11,Biz Lead International,Kathmandu,Private,2067
12,Bishlex International Exports & Imports,Kathmandu,Private,2067
13,Shantimata Transport Service,Kathmandu,Private,2067
14,Simrik Trade,Lalitpur,Private,2067
15,M. Media,Kathmandu,Private,2067
16,Agni Suryodaya Guest House,Kathmandu,Private,2067
17,Kalinchowk Suppliers,Kathmandu,Private,2067
18,Chameli Overseas,Kathmandu,Private,2067
19,Nyarva Green Treks and Expedition,Kathmandu,Private,2067
20,Devaki College Of Management & Science,Siraha,Private,2067
21,Om National Academy,Parsa,Private,2067
22,Indreni Consulting Engineers,Chitwan,Private,2067
23,Nepal Academy Of Martial Arts,Kathmandu,Private,2067
24,Hot Ice Entertaiment,Kathmandu,Private,2067
25,MERLIN HOLDING & INVESTMENT GROUP,Lalitpur,Private,2067
26,Jokhu Chaudhary Samudayik Health Care & Research Center,Parsa,Private,2067
27,Shubha Aabhas Consult,Kathmandu,Private,2067
28,Eton Web Development,Kathmandu,Private,2067
29,Alpha Investment Company,Kathmandu,Private,2067
30,Mithila Institute Of Technology,Dhanusha,Private,2067
31,Prism Oil Suppliers,Kathmandu,Private,2067
32,Himali Yartsha Gunbu,Kathmandu,Private,2067
33,Color & Codes,Kathmandu,Private,2067
34,Kathmandu Television,Kathmandu,Private,2067
35,Kiran Films,Kathmandu,Private,2067
36,All Plast Nepal System,Lalitpur,Private,2067
37,Albert Education Foundation,Kathmandu,Private,2067
38,Chitwan Patanjali Ayurbed Tatha Yog Sewa,Chitwan,Private,2067
39,Dhaulagiri Hatchery Udhyog,Parbat,Private,2067
40,Sabotage Publication,Kathmandu,Private,2067
41,Aaditya Technology,Kathmandu,Private,2067
42,Beauty Spa,Lalitpur,Private,2067
43,Snowcaped Himalayan Adventure Travel and Tours,Kathmandu,Private,2067
44,Magic Beans,Kathmandu,Private,2067
45,Achievers World Nepal,Morang,Private,2067
46,vancouver Education Consultancy,Kathmandu,Private,2067
47,Puja Furniture,Kathmandu,Private,2067
48,Bajrang Bali Book Enterprises,Kathmandu,Private,2067
49,Aislinn Immigration & Educational Consultancy,Rupandehi,Private,2067
50,Dhaulagiri Baglung Kalika Suppliers,Kathmandu,Private,2067
51,Janani Entertainment,Kathmandu,Private,2067
52,Anupam Multipurpose Company,Kathmandu,Private,2067
53,Jaya Mata Salambu Concrete Block Udhyog,Kathmandu,Private,2067
54,G. R. Manpower Service,Kathmandu,Private,2067
55,Rojan Rock And Minerals,Kathmandu,Private,2067
56,Golden Wood Herbal  Medicine,Kathmandu,Private,2067
57,S.N.A. Food & Feed,Bardiya,Private,2067
58,Star Eye Overseas Consultancy,Kathmandu,Private,2067
59,Rural Development and Research Center,Parsa,Private,2067
60,Hydro-Promotion,Kathmandu,Private,2067
61,Cass Korea Enterprises,Kathmandu,Private,2067
62,Golden Tap Kathmandu Mall Food Court,Kathmandu,Private,2067
63,Common Good Cottage International Academy,Kathmandu,Private,2067
64,Dragon China Itta Tile Industry,Lalitpur,Private,2067
65,Harati Foundation,Kathmandu,Non-Profit Distributing,2067
66,Nepalgunj Health Campus,Jhapa,Private,2067
67,Prise Media,Kathmandu,Private,2067
68,Glitter Educational Institution,Kathmandu,Private,2067
69,Raj Shree International Travels & Tours,Kathmandu,Private,2067
70,Mega Bank Nepal,Kathmandu,Public,2067
71,R.K. International Traders & Suppliers,Kaski,Private,2067
72,Shreenagar Music,Kathmandu,Private,2067
73,Guseul Trading,Kathmandu,Private,2067
74,Ozone Fly Travels and Tours,Kathmandu,Private,2067
75,Richa Treks,Kathmandu,Private,2067
76,Satyawati Roda Udhyog,Palpa,Private,2067
77,Solar Engineering And Educational Consultancy,Kaski,Private,2067
78,Ampras Industries,Lalitpur,Private,2067
79,Dental Care Hospital,Kathmandu,Private,2067
80,Sangam Sweets,Kathmandu,Private,2067
81,Aaditya Tours and Travels,Kaski,Private,2067
82,Abatar Records & Distributtion,Kathmandu,Private,2067
83,Anjoj Trading,Kathmandu,Private,2067
84,Cups and Cakes,Kathmandu,Private,2067
85,S.R.B. Snooker House,Kathmandu,Private,2067
86,Trimurti Residential English School Saptari,Saptari,Private,2067
87,Mountain Entertainment Management,Kathmandu,Private,2067
88,Namaste Real Services,Chitwan,Private,2067
89,Ashirbad Nepal Advertising,Chitwan,Private,2067
90,Living Traditions Museum,Bhaktapur,Non-Profit Distributing,2067
91,Renushree Trade And Suppliers,Lalitpur,Private,2067
92,SIDDHIDATRI BOUTIQUE,Lalitpur,Private,2067
93,Gurkha Beverage,Kathmandu,Private,2067
94,Gurkha Golden Trade,Kathmandu,Private,2067
95,Apollo International Hospital Nepal,Kathmandu,Private,2067
96,Gandaki Communication,Kaski,Private,2067
97,Medical Trading House,Kathmandu,Private,2067
98,Classic Surgicals,Kathmandu,Private,2067
