_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,Khaptad Technical College,Achham,Private,2069
2,Khaptad Media,Achham,Private,2069
3,Achham Cable Network,Achham,Private,2069
4,Deurali Health Care Center,Arghakhanchi,Private,2069
5,Galaxy English Boarding School Arghakhanchi,Arghakhanchi,Private,2069
6,Airawati Institute of Technology and Research,Arghakhanchi,Private,2069
7,Pahad Itta Udhyog,Arghakhanchi,Private,2069
8,Tarjen Driving,Arghakhanchi,Private,2069
9,Supa Dewrali Roda Dhunga Udhyog,Arghakhanchi,Private,2069
10,Deurali Technical College of Technology,Arghakhanchi,Private,2069
11,Akhil Overseas,Baglung,Private,2069
12,Prayogshala PrashiKshan Polyclinic,Baglung,Private,2069
13,Dhaulagiri Technical College,Baglung,Private,2069
14,Uttarganga Prabidhik Shikshalaya,Baglung,Private,2069
15,G.K. Multiple Technical Institute,Baglung,Private,2069
16,New Model English Boarding Schools Resh,Baglung,Private,2069
17,Hotel Valley Top,Baglung,Private,2069
18,Sagarmatha Boarding School Baglung,Baglung,Private,2069
19,Shahid Thir Bam Malla Memorial Foundation,Baglung,Non-Profit Distributing,2069
20,Sandipa Nirman Sewa & Investment,Baglung,Private,2069
21,Baglung Multi Investment,Baglung,Private,2069
22,Ghumte Crusher And Construction,Baglung,Private,2069
23,Deurali Peribang Cable Network,Baglung,Private,2069
24,Camaroon Nirman Sewa,Baglung,Private,2069
25,Dhaulagiri Swabhiman Company,Baglung,Public,2069
26,Green Development Bank,Baglung,Public,2069
27,Deal Consultancy,Baglung,Private,2069
28,Dhorpatan Krashar and Construction Udhyog,Baglung,Private,2069
29,Shree Sole Boarding School,Baglung,Private,2069
30,Baglung Construction,Baglung,Private,2069
31,Asmita Enterprises,Baglung,Private,2069
32,Dhaulagiri Television,Baglung,Private,2069
33,Kaligandaki Computer and Educare Center,Baglung,Private,2069
34,Shree Krishna Dental Home,Baglung,Private,2069
35,Tapobhumi Multipurpose Investment Company,Baglung,Private,2069
36,Royal Dhaulagiri Builders and Developers,Baglung,Private,2069
37,Shree Durga Bhawani Boarding School,Baitadi,Private,2069
38,Bombay Garments,Baitadi,Private,2069
39,Western Technology,Baitadi,Private,2069
40,Ningalasaini Cable Network,Baitadi,Private,2069
41,Bajhang Krishi Tatha Jadibuti Company,Bajhang,Private,2069
42,Manoj Cable Network,Bajhang,Private,2069
43,Api Saipal English School Bajhang,Bajhang,Private,2069
44,Bal Maitri Academy,Bajhang,Private,2069
45,surma sarowar english bording school,Bajhang,Private,2069
46,Global Tourch English Medium School,Bajhang,Private,2069
47,Stars Twinkling Vocational English Boarding School,Bajhang,Private,2069
48,Radiant Life English Boarding School bhatekhola Bajhang,Bajhang,Private,2069
