_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,WANA PROGRESSIVE ENGLISH BOARDING SCHOOL,Sankhuwasabha,Private,2064
2,SARBODAYA EDUCATIONAL FOUNDATION,Jhapa,Private,2064
3,DIGITAL CINEMA NEPAL,Kathmandu,Private,2064
4,HI-TECH MANAGEMENT & INVESTMENT,Kathmandu,Private,2064
5,BINAYAKAM SURGICALS,Kathmandu,Private,2064
6,RELATION NEPAL CONSULTANCY,Kathmandu,Private,2064
7,PEACE HOME COMPANY,Lalitpur,Private,2064
8,K.S. VEHICLE ENTERPRISES,Kathmandu,Private,2064
9,ORALINK MICROSYS,Lalitpur,Private,2064
10,ALONE TRAVELLER PLUS,Kathmandu,Private,2064
11,EDUCATION TEAM,Kathmandu,Private,2064
12,CHARAALI GROCERY SHOP,Jhapa,Private,2064
13,ROYAL PACIFIC TRAVELS NEPAL,Lalitpur,Private,2064
14,D. & D. AUTO LINKS Pvt. Ltd,Kathmandu,Private,2064
15,KATHAYAT CONSTRUCTION MATERIALS INDUSTRIES,Jumla,Private,2064
16,DAYA SAGAR HOUSING,Lalitpur,Private,2064
17,MANAKAMANA LANGUAGE & TRAINING ACADEMY,Kathmandu,Private,2064
18,GANESH HIMAL TEA INDUSTRIES,Kathmandu,Private,2064
19,S.R.S. DEVELOPERS,Kathmandu,Private,2064
20,NEW CAPITAL UCHCHA MADHYAMIK VIDHYALAYA,Chitwan,Private,2064
21,UNIQUE MONEY TRANSFER COMPANY,Kathmandu,Private,2064
22,BLUE SKY NEPAL BUILDERS,Kathmandu,Private,2064
23,PATHIBHARA PHOOLBARI HOUSING,Kathmandu,Private,2064
24,MECHI ONE OVERSEAS CONSULTANCY,Ilam,Private,2064
25,BALKUMARI HOUSING,Kathmandu,Private,2064
26,MOTION MEDIA,Kathmandu,Private,2064
27,PURNA SHREE EXPRESS,Sankhuwasabha,Private,2064
28,NEPAL HEALTH SOCIETY,Kathmandu,Private,2064
29,HARI OM DEVELOPMENT,Jhapa,Private,2064
30,HIMALAYAN REALTY,Kathmandu,Private,2064
31,UNIVERSAL REALTY,Kathmandu,Private,2064
32,LANDMARK REALTY,Kathmandu,Private,2064
33,EDUCATION & RESEARCH SERVICES,Kathmandu,Private,2064
34,GENERATION NEXT NEPAL,Kathmandu,Private,2064
35,GALAXY VISION LINK INTERNATIONAL,Kathmandu,Private,2064
36,SUPREME BUILDERS,Kathmandu,Private,2064
37,CITY FARM & NURSERY,Kathmandu,Private,2064
38,LALITPUR HEALTHCARE,Lalitpur,Private,2064
39,DUPCHESHWAR HOUSING,Kathmandu,Private,2064
40,CIS,Lalitpur,Private,2064
41,K.L. EMPLOYMENT SERVICE,Kathmandu,Private,2064
42,RASUWA TRADING COMPANY,Rasuwa,Private,2064
