_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,Dakshinkali Communication,Kathmandu,Private,2066
2,Bishal Thapaliya Smriti Trust,Kathmandu,Non-Profit Distributing,2066
3,C.C.F.L. Service,Lalitpur,Private,2066
4,B.P.G. Investment,Kaski,Private,2066
5,Religious Thanka Art,Bhaktapur,Private,2066
6,Sharma Property Dealers Company,Dhanusha,Private,2066
7,NetraJyoti Builders,Kathmandu,Private,2066
8,Bhagyadata Property Dealers,Syangja,Private,2066
9,Suprasiddha Housing,Kathmandu,Private,2066
10,Siddhartha Gautam Buddha Auto Workshop,Kathmandu,Private,2066
11,Nishan Real Estate Company,Kathmandu,Private,2066
12,British Golden Future Training Center,Lalitpur,Private,2066
13,Nyano Tours and Travels,Jhapa,Private,2066
14,Himalayan International Housing & Developers,Syangja,Private,2066
15,Quality & Environmental Management Service,Kathmandu,Private,2066
16,Approach International Educational,Kathmandu,Private,2066
17,Nepalese Natural Bio Products,Kathmandu,Private,2066
18,Vital Institute and Consultancy,Kathmandu,Private,2066
19,Mira & Tej Investment,Rupandehi,Private,2066
20,Bhumika Investment Company,Rupandehi,Private,2066
21,Matribhumi Real Estate,Kathmandu,Private,2066
22,Sai P.K. Polymix Marketing,Kathmandu,Private,2066
23,Sushmit Medico Concern,Kathmandu,Private,2066
24,Republic Legal Service,Syangja,Private,2066
25,Rambabu Shyambabu Real Estate And Investment,Parsa,Private,2066
26,Gana Group,Kathmandu,Private,2066
27,Tilottama Investment Company,Rupandehi,Private,2066
28,Lama Cold Store,Kathmandu,Private,2066
29,Thapa Export and Import Company,Kathmandu,Private,2066
30,United Gorkha Business Group,Kathmandu,Private,2066
31,Maha Bhairab Transport,Kathmandu,Private,2066
32,Dhamal Bar,Kathmandu,Private,2066
33,Grandon Sustainable Solution,Kathmandu,Private,2066
34,Dazzle P.C. Fitness Fit Shop,Kathmandu,Private,2066
35,Construction Care,Kathmandu,Private,2066
36,Nepal Trek and High Adventure,Kathmandu,Private,2066
37,Kathmandu Japanese Vasa Academy,Kathmandu,Private,2066
38,Sky Housing & Investment,Kathmandu,Private,2066
39,Tri Shakti English School,Udayapur,Private,2066
40,Unique Bar and Nritya,Kathmandu,Private,2066
41,Shesh Narayan Jagga Bikash Company,Bhaktapur,Private,2066
42,Upaharharu Nepal,Kathmandu,Private,2066
43,Peace Nepal,Lalitpur,Private,2066
44,Om Birat Green City Housing,Morang,Private,2066
45,Lalrakshak Prakashan,Kathmandu,Private,2066
46,Akuj Trading Company,Kathmandu,Private,2066
47,Micky's Family Station,Kathmandu,Private,2066
48,Chain Connection,Kathmandu,Private,2066
49,Mahadev Parbati Housing,Kathmandu,Private,2066
50,G.M. Real Estate and Housing,Kathmandu,Private,2066
51,Victory Investment And Developers,Syangja,Private,2066
52,Magar Multi Traders,Kathmandu,Private,2066
53,Madhu Construction,Morang,Private,2066
54,Jun Tara Travel & Tours,Morang,Private,2066
55,Olive Fast Food & Lounge,Kathmandu,Private,2066
