_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
1,Gurukul Academy Achham,Achham,Private,2072
2,Dharmeshwor Policlinic,Achham,Private,2072
3,Baijnath Polyclinic,Achham,Private,2072
4,Ramarosan Micro Finance Bittiya Sanstha,Achham,Public,2072
5,Nardeep English Boarding School Achham,Achham,Private,2072
6,Umpire Public School Achham,Achham,Private,2072
7,Gyankunj Educational Academy Achham,Achham,Private,2072
8,Venture For Educational Negotiation To Upgrade Needy Students Foundation,Achham,Private,2072
9,Public Vidya Mandir Achham,Achham,Private,2072
10,Spencer Institute,Achham,Private,2072
11,Ramaroshan Education Network,Achham,Private,2072
12,Shristi Educational Institute,Achham,Private,2072
13,Mid Horizen Multipurpose,Arghakhanchi,Private,2072
14,Aayava Petroleum,Arghakhanchi,Private,2072
15,Khachi Mathura Sangam Krishi Tatha Babasaya Farm,Arghakhanchi,Private,2072
16,Himalayan Balkot Krishi Tatha Pashu Farm,Arghakhanchi,Private,2072
17,Panini Krishi Farm,Arghakhanchi,Private,2072
18,Y. R. Etta Udhyog,Arghakhanchi,Private,2072
19,Arghakhanchi Etta Udhyog,Arghakhanchi,Private,2072
20,K. P. Adhunik Etta Udhyog,Arghakhanchi,Private,2072
21,P. K . Etta Udhyog,Arghakhanchi,Private,2072
22,R.S.S. Construction,Arghakhanchi,Private,2072
23,Chhaya Polyclinic,Arghakhanchi,Private,2072
24,Arghakhanchi Hotel Sathi,Arghakhanchi,Private,2072
25,Arghakhanchi Taxi Byabasayee Samiti,Arghakhanchi,Private,2072
26,Shree Ganesh Chadani Agro Farm,Arghakhanchi,Private,2072
27,Hansapur Public English Boarding School Arghakhanchi,Arghakhanchi,Private,2072
28,Aglung  Hydropower Company,Arghakhanchi,Private,2072
29,Brilliant English Boarding School Arghakhanchi,Arghakhanchi,Private,2072
30,New Moonlight English Boarding School Arghakhanchi,Arghakhanchi,Private,2072
31,Khanal  Dental  Clinic,Arghakhanchi,Private,2072
32,Tribeni  Danta  Center,Arghakhanchi,Private,2072
33,Ranikuwa International Hrydropower  Company,Arghakhanchi,Private,2072
34,Glorious English Boarding School Khilji,Arghakhanchi,Private,2072
35,"Pathshala Nepal, Arghakhanchi",Arghakhanchi,Private,2072
36,Bihunkot Cable Network,Baglung,Private,2072
37,Om Laxmi Stone Industries And Suppliers,Baglung,Private,2072
38,Saphal Jivanko lagi Samajik Sanlagnata Nepal,Baglung,Private,2072
39,Baglung Bhagwati Yatayat,Baglung,Private,2072
40,Baglung Investment Company,Baglung,Private,2072
41,D.S Saw Mill Thatha Furniture Udhyog,Baglung,Private,2072
42,Baglung Bhagawati Yatayat Sewa,Baglung,Non-Profit Distributing,2072
43,Nawadurga Yatayat Company,Baglung,Private,2072
44,S.T.R. Krishi Company,Baglung,Private,2072
45,Kishan Development And Research Firm,Baglung,Private,2072
46,Baglung S.D.M. Stone,Baglung,Private,2072
47,Motherland Educational Foundation Baglung,Baglung,Private,2072
48,Siddharth Multi Traders And Houseing,Baglung,Private,2072
49,Sirubari Agro And Foresty,Baglung,Private,2072
50,Urja Hydropower,Baglung,Private,2072
51,Uttarganga Dhorpatan Multipurpose Company,Baglung,Private,2072
52,Golden Life English Boarding School Baglung,Baglung,Private,2072
53,Righa Daram Investment Company,Baglung,Private,2072
54,Dhorpatan Oil Stores,Baglung,Private,2072
55,Daramkhola Hydro Energy,Baglung,Public,2072
56,Thirdpole Engineering And Design,Baglung,Private,2072
57,Galkot Agriculture Firm,Baglung,Private,2072
58,Madhyadaram Khola  A Gaighat Energy,Baglung,Private,2072
59,Kali Gandaki Investment,Baglung,Private,2072
60,Galkot Medical Clinic,Baglung,Private,2072
61,Golden Future English Bording School Baglung,Baglung,Private,2072
62,Golkot Yatayat,Baglung,Private,2072
63,Global Power And Multi Investment,Baglung,Private,2072
64,Malma Investment And Trade,Baglung,Private,2072
65,Kalika Pacchimaanchal  Montessori  Talim Kendra,Baglung,Private,2072
66,Worldwide Multipurpose Consultancy,Baglung,Private,2072
67,Kaucha Investment,Baglung,Private,2072
68,Pahuna Ghar Hotel,Baglung,Private,2072
69,Thamee Ghumte Investment Company,Baglung,Private,2072
70,Shreesh Tayal Dunga Udyog,Baglung,Private,2072
71,Golkot Hospital,Baglung,Private,2072
72,Chahana Technical & Institute,Baitadi,Private,2072
73,R.B.Construction,Baitadi,Private,2072
74,Green Haven Public School Baitadi,Baitadi,Private,2072
75,Jeevanjyoti English Boarding School Baitadi,Baitadi,Private,2072
76,Garveswor Traders,Baitadi,Private,2072
77,Mala Educational Foundation Baitadi,Baitadi,Private,2072
78,Bhauneli English Bording School Baitadi,Baitadi,Private,2072
79,Pinnacle Media,Baitadi,Private,2072
80,Api Cement,Baitadi,Private,2072
81,Shanti Academy English Boarding School Baitadi,Baitadi,Private,2072
82,Unique Vision English Boarding School Bajhang,Bajhang,Private,2072
83,Farwest Academy Bajhang,Bajhang,Private,2072
84,Star Academy Bajhang,Bajhang,Private,2072
85,Sathi Samuha,Bajhang,Private,2072
86,Khaptad Vidhaya Niketan Bajhang,Bajhang,Private,2072
87,Bungal Sunshine Academy Bajhang,Bajhang,Private,2072
88,Bright Star English Boarding School Bajhang,Bajhang,Private,2072
89,Saraswoti English Boarding School Bajhang,Bajhang,Private,2072
90,Laxmi Memorial English Boarding School Bajhang,Bajhang,Private,2072
91,Deepjyoti English Boarding School Bajhang,Bajhang,Private,2072
92,Bright Baby English Boarding School Bajhang,Bajhang,Private,2072
93,Dahabagar Rise English Medium School Bajhang,Bajhang,Private,2072
94,Kaphalseri English Boarding School Bajhang,Bajhang,Private,2072
95,Bungal Bright Vision Academy Bajhang,Bajhang,Private,2072
96,Greenland English Boarding School Bajhang,Bajhang,Private,2072
97,Dhaulpur English Boarding School Bajhang,Bajhang,Private,2072
98,Saugat English Boarding School Bajhang,Bajhang,Private,2072
99,Badimalika Model Policlinic,Bajura,Private,2072
100,M.R. English Boarding School Bajura,Bajura,Private,2072
101,Jovial Academy Bajura,Bajura,Private,2072
102,Adhikari Sons,Banke,Private,2072
103,Sneha Water Way,Banke,Private,2072
104,Nepal Zainab Industries,Banke,Private,2072
105,Oasis Accounting Solution,Banke,Private,2072
106,Global Organic Argo Farm,Banke,Private,2072
107,Arogya Motors,Banke,Private,2072
108,Kohalpur Krishi Tatha Pashupanchi Farm,Banke,Private,2072
109,Senior Care Center,Banke,Private,2072
110,Alternate of Integrity Media & Advertising Agency,Banke,Private,2072
111,Subham International Business Service,Banke,Private,2072
112,Kuber Investment & Sub Money Transfer Service,Banke,Private,2072
113,National Education Support Center,Banke,Private,2072
114,Bageshwori International Institute,Banke,Private,2072
115,Kohalpur Multiple Training Center,Banke,Private,2072
116,Taja Media,Banke,Private,2072
117,Jay Bageshwori Training,Banke,Private,2072
118,Naurigadhi Academy English Medium School Banke,Banke,Private,2072
